,CAPM_beta,FF_3_MKT,FF_3_SMB,FF_3_HML,FF_5_MKT,FF_5_SMB,FF_5_HML,FF_5_RMW,FF_5_CMA
SMALL LoOP,1.2755760005403634,1.0022496494488229,1.4161852020594323,0.09898842275859043,0.9763452529528244,1.2501081177691273,-0.13782579150108937,-0.6261815070741559,0.10464327277899887
ME1 OP2,1.0547186223870202,0.9057571150574819,1.0376533221266397,0.4444059036265917,0.8950109159034989,1.0833327852699253,0.28502003845885254,0.13503952980177686,-0.02459584861181885
ME1 OP3,1.0364533164339187,0.9199035180442412,0.9042107706713822,0.4833287663368018,0.9204678581866643,0.9898664400545067,0.3145020079050516,0.2747103192278383,0.027846317428283196
ME1 OP4,1.0816989070282994,0.9428362363798468,1.021800803775223,0.4943183971403903,0.9782142579291179,1.1273310904337337,0.17064721745383982,0.3695283470968236,0.32636778556083873
SMALL HiOP,1.274451661654668,1.1040633300933687,1.0767479843252004,0.34652572789177205,1.0910386852933673,1.1928970592731636,0.20368884510847718,0.36845055914579095,-0.10373261975936321
ME2 OP1,1.340612838372464,1.1226953855126844,1.0703177446105947,-0.007409312910348853,1.093404930868648,0.9148625629874028,-0.16589050934102778,-0.6137808002141575,0.04795229522928279
ME2 OP2,1.123377641092157,1.012450060151594,0.7946142642158982,0.36310615249531547,1.0111293374393773,0.8409518166053027,0.20694703318805163,0.11750019318939087,0.05588225505729033
ME2 OP3,1.0388494980189664,0.9413232639417306,0.7453253031463767,0.3878446585706916,0.9398124039945448,0.8178033055859335,0.2540035161212322,0.2225991870228503,0.011013965289196015
ME2 OP4,1.1137612500332577,1.0072183217154171,0.7683129998677278,0.35625547643416494,1.0001309993784888,0.8823957384777716,0.25524123522800996,0.37687195514205074,-0.08926053361283609
ME2 OP5,1.2464472713348722,1.123355607906643,0.810414715110376,0.2981483078325359,1.1126211754186672,0.9828252042075096,0.20730500366517784,0.5430057723059587,-0.14796732064730983
ME3 OP1,1.2841589550938817,1.1137055043790451,0.8059989369581687,-0.05161511163527205,1.0679241704980207,0.5865765344894708,-0.08955821433088401,-0.7882411223782217,-0.10894273443230662
ME3 OP2,1.0420387204537636,0.9748801225357302,0.5472575378670543,0.31703234612058473,0.9741495858248486,0.5702960638823004,0.2033956321415515,0.04099835684340988,0.056653919178892675
ME3 OP3,1.0343521999018481,0.9792772741170027,0.48698185977089337,0.3160833702110253,0.9755896987890919,0.546172713995877,0.2376311857478301,0.17019812605609297,-0.01662514125922096
ME3 OP4,1.0920600391057385,1.042040821553036,0.4637644306063351,0.3186259503167708,1.0424091575131125,0.5798317591772707,0.24113634685487167,0.3620795195259865,-0.03326047221426806
ME3 OP5,1.1956564344369782,1.1112463491583526,0.5597924668548675,0.2104047443102875,1.1067283794331335,0.7242879614802795,0.14850350501505566,0.535500339022796,-0.12286575349440065
ME4 OP1,1.221056189358528,1.1170041961065207,0.5033363790554954,-0.014880730403335596,1.077768743642899,0.2813677216440259,-0.01327420754512551,-0.7767826253357231,-0.09157555741604817
ME4 OP2,1.0694362493815732,1.0418808587115127,0.2996174640940409,0.24034887581162698,1.0383121835365239,0.25138780308737213,0.1740276404326836,-0.1925243427709652,0.06542226145592256
ME4 OP3,1.0109737112107047,1.007827544423329,0.20177297901604574,0.27355530080813,1.0102807140606451,0.25548741148858006,0.22569567824246828,0.1521415022741381,0.017636857330852768
ME4 OP4,1.0465677006406302,1.0522608558056643,0.1386198445191754,0.244864985290785,1.068873055166523,0.2531839913610202,0.16539423973847772,0.35910633676371745,0.08721969024974394
ME4 OP5,1.1129918280200184,1.0550241783222027,0.3336808244827364,0.06995254097723883,1.0591456955823155,0.4395839420927208,0.00301554560320047,0.33510055458676596,-0.007471380637164626
BIG LoOP,1.1017717748318103,1.1188211031076112,-0.05097243023403451,0.04870639606745498,1.0633081265825612,-0.2868444582718793,0.23485936253546716,-0.7974403762743637,-0.3090381358822914
ME5 OP2,0.9662079422647798,1.0215764224521942,-0.13938171297485089,0.19658997541320888,1.0238820646669355,-0.21203034453566705,0.18975841028165957,-0.2705803262331209,0.0961565493163784
ME5 OP3,0.9408447511417646,1.0044845912463372,-0.23109337286801485,0.12183709068614634,1.0071345995625254,-0.2523973106105619,0.14415525972150797,-0.09658611009786022,0.04219159428472907
ME5 OP4,0.9438794766089572,0.981678243281891,-0.22549340185832528,-0.05723360213947791,0.9829326483935693,-0.1969393956022056,-0.003555694700775283,0.11755189601571042,-0.05456570868462764
BIG HiOP,0.9269202225530978,0.9523894532067568,-0.23776661257168114,-0.16462448461080445,0.9684110872177893,-0.14254037627595034,-0.15500191833920457,0.34099732994165916,0.02304827806634853
